algorithm,user_id,diversity_mode,generation,pareto_front_size
SPEA2,1,with_diversity,1,17
SPEA2,1,with_diversity,2,33
SPEA2,1,with_diversity,3,43
SPEA2,1,with_diversity,4,50
SPEA2,1,with_diversity,5,50
SPEA2,1,with_diversity,6,50
SPEA2,1,with_diversity,7,50
SPEA2,1,with_diversity,8,50
SPEA2,1,with_diversity,9,50
SPEA2,1,with_diversity,10,50
SPEA2,1,with_diversity,11,50
SPEA2,1,with_diversity,12,50
SPEA2,1,with_diversity,13,50
SPEA2,1,with_diversity,14,50
SPEA2,1,with_diversity,15,50
SPEA2,1,with_diversity,16,50
SPEA2,1,with_diversity,17,50
SPEA2,1,with_diversity,18,50
SPEA2,1,with_diversity,19,50
SPEA2,1,with_diversity,20,50
SPEA2,1,with_diversity,21,50
SPEA2,1,with_diversity,22,50
SPEA2,1,with_diversity,23,50
SPEA2,1,with_diversity,24,50
SPEA2,1,with_diversity,25,50
SPEA2,1,with_diversity,26,50
SPEA2,1,with_diversity,27,50
SPEA2,1,with_diversity,28,50
SPEA2,1,with_diversity,29,50
SPEA2,1,with_diversity,30,50
SPEA2,1,with_diversity,31,50
SPEA2,1,with_diversity,32,50
SPEA2,1,with_diversity,33,50
SPEA2,1,with_diversity,34,50
SPEA2,1,with_diversity,35,50
SPEA2,1,with_diversity,36,50
SPEA2,1,with_diversity,37,50
SPEA2,1,with_diversity,38,50
SPEA2,1,with_diversity,39,50
SPEA2,1,with_diversity,40,50
SPEA2,1,with_diversity,41,50
SPEA2,1,with_diversity,42,50
SPEA2,1,with_diversity,43,50
SPEA2,1,with_diversity,44,50
SPEA2,1,with_diversity,45,50
SPEA2,1,with_diversity,46,50
SPEA2,1,with_diversity,47,50
SPEA2,1,with_diversity,48,50
SPEA2,1,with_diversity,49,50
SPEA2,1,with_diversity,50,50
NSGA-II,1,with_diversity,1,50
NSGA-II,1,with_diversity,2,50
NSGA-II,1,with_diversity,3,50
NSGA-II,1,with_diversity,4,50
NSGA-II,1,with_diversity,5,50
NSGA-II,1,with_diversity,6,50
NSGA-II,1,with_diversity,7,50
NSGA-II,1,with_diversity,8,50
NSGA-II,1,with_diversity,9,50
NSGA-II,1,with_diversity,10,50
NSGA-II,1,with_diversity,11,50
NSGA-II,1,with_diversity,12,50
NSGA-II,1,with_diversity,13,50
NSGA-II,1,with_diversity,14,50
NSGA-II,1,with_diversity,15,50
NSGA-II,1,with_diversity,16,50
NSGA-II,1,with_diversity,17,50
NSGA-II,1,with_diversity,18,50
NSGA-II,1,with_diversity,19,50
NSGA-II,1,with_diversity,20,50
NSGA-II,1,with_diversity,21,50
NSGA-II,1,with_diversity,22,50
NSGA-II,1,with_diversity,23,50
NSGA-II,1,with_diversity,24,50
NSGA-II,1,with_diversity,25,50
NSGA-II,1,with_diversity,26,50
NSGA-II,1,with_diversity,27,50
NSGA-II,1,with_diversity,28,50
NSGA-II,1,with_diversity,29,50
NSGA-II,1,with_diversity,30,50
NSGA-II,1,with_diversity,31,50
NSGA-II,1,with_diversity,32,50
NSGA-II,1,with_diversity,33,50
NSGA-II,1,with_diversity,34,50
NSGA-II,1,with_diversity,35,50
NSGA-II,1,with_diversity,36,50
NSGA-II,1,with_diversity,37,50
NSGA-II,1,with_diversity,38,50
NSGA-II,1,with_diversity,39,50
NSGA-II,1,with_diversity,40,50
NSGA-II,1,with_diversity,41,50
NSGA-II,1,with_diversity,42,50
NSGA-II,1,with_diversity,43,50
NSGA-II,1,with_diversity,44,50
NSGA-II,1,with_diversity,45,50
NSGA-II,1,with_diversity,46,50
NSGA-II,1,with_diversity,47,50
NSGA-II,1,with_diversity,48,50
NSGA-II,1,with_diversity,49,50
NSGA-II,1,with_diversity,50,50
SPEA2,1,without_diversity,1,15
SPEA2,1,without_diversity,2,21
SPEA2,1,without_diversity,3,34
SPEA2,1,without_diversity,4,47
SPEA2,1,without_diversity,5,49
SPEA2,1,without_diversity,6,50
SPEA2,1,without_diversity,7,50
SPEA2,1,without_diversity,8,50
SPEA2,1,without_diversity,9,50
SPEA2,1,without_diversity,10,50
SPEA2,1,without_diversity,11,50
SPEA2,1,without_diversity,12,50
SPEA2,1,without_diversity,13,50
SPEA2,1,without_diversity,14,50
SPEA2,1,without_diversity,15,50
SPEA2,1,without_diversity,16,50
SPEA2,1,without_diversity,17,50
SPEA2,1,without_diversity,18,50
SPEA2,1,without_diversity,19,50
SPEA2,1,without_diversity,20,50
SPEA2,1,without_diversity,21,50
SPEA2,1,without_diversity,22,50
SPEA2,1,without_diversity,23,50
SPEA2,1,without_diversity,24,50
SPEA2,1,without_diversity,25,50
SPEA2,1,without_diversity,26,50
SPEA2,1,without_diversity,27,50
SPEA2,1,without_diversity,28,50
SPEA2,1,without_diversity,29,50
SPEA2,1,without_diversity,30,50
SPEA2,1,without_diversity,31,50
SPEA2,1,without_diversity,32,50
SPEA2,1,without_diversity,33,50
SPEA2,1,without_diversity,34,50
SPEA2,1,without_diversity,35,50
SPEA2,1,without_diversity,36,50
SPEA2,1,without_diversity,37,50
SPEA2,1,without_diversity,38,50
SPEA2,1,without_diversity,39,50
SPEA2,1,without_diversity,40,50
SPEA2,1,without_diversity,41,50
SPEA2,1,without_diversity,42,50
SPEA2,1,without_diversity,43,50
SPEA2,1,without_diversity,44,50
SPEA2,1,without_diversity,45,50
SPEA2,1,without_diversity,46,50
SPEA2,1,without_diversity,47,50
SPEA2,1,without_diversity,48,50
SPEA2,1,without_diversity,49,50
SPEA2,1,without_diversity,50,50
NSGA-II,1,without_diversity,1,50
NSGA-II,1,without_diversity,2,50
NSGA-II,1,without_diversity,3,50
NSGA-II,1,without_diversity,4,50
NSGA-II,1,without_diversity,5,50
NSGA-II,1,without_diversity,6,50
NSGA-II,1,without_diversity,7,50
NSGA-II,1,without_diversity,8,50
NSGA-II,1,without_diversity,9,50
NSGA-II,1,without_diversity,10,50
NSGA-II,1,without_diversity,11,50
NSGA-II,1,without_diversity,12,50
NSGA-II,1,without_diversity,13,50
NSGA-II,1,without_diversity,14,50
NSGA-II,1,without_diversity,15,50
NSGA-II,1,without_diversity,16,50
NSGA-II,1,without_diversity,17,50
NSGA-II,1,without_diversity,18,50
NSGA-II,1,without_diversity,19,50
NSGA-II,1,without_diversity,20,50
NSGA-II,1,without_diversity,21,50
NSGA-II,1,without_diversity,22,50
NSGA-II,1,without_diversity,23,50
NSGA-II,1,without_diversity,24,50
NSGA-II,1,without_diversity,25,50
NSGA-II,1,without_diversity,26,50
NSGA-II,1,without_diversity,27,50
NSGA-II,1,without_diversity,28,50
NSGA-II,1,without_diversity,29,50
NSGA-II,1,without_diversity,30,50
NSGA-II,1,without_diversity,31,50
NSGA-II,1,without_diversity,32,50
NSGA-II,1,without_diversity,33,50
NSGA-II,1,without_diversity,34,50
NSGA-II,1,without_diversity,35,50
NSGA-II,1,without_diversity,36,50
NSGA-II,1,without_diversity,37,50
NSGA-II,1,without_diversity,38,50
NSGA-II,1,without_diversity,39,50
NSGA-II,1,without_diversity,40,50
NSGA-II,1,without_diversity,41,50
NSGA-II,1,without_diversity,42,50
NSGA-II,1,without_diversity,43,50
NSGA-II,1,without_diversity,44,50
NSGA-II,1,without_diversity,45,50
NSGA-II,1,without_diversity,46,50
NSGA-II,1,without_diversity,47,50
NSGA-II,1,without_diversity,48,50
NSGA-II,1,without_diversity,49,50
NSGA-II,1,without_diversity,50,50
SPEA2,2,with_diversity,1,11
SPEA2,2,with_diversity,2,20
SPEA2,2,with_diversity,3,39
SPEA2,2,with_diversity,4,50
SPEA2,2,with_diversity,5,50
SPEA2,2,with_diversity,6,50
SPEA2,2,with_diversity,7,50
SPEA2,2,with_diversity,8,50
SPEA2,2,with_diversity,9,50
SPEA2,2,with_diversity,10,50
SPEA2,2,with_diversity,11,50
SPEA2,2,with_diversity,12,50
SPEA2,2,with_diversity,13,50
SPEA2,2,with_diversity,14,50
SPEA2,2,with_diversity,15,50
SPEA2,2,with_diversity,16,50
SPEA2,2,with_diversity,17,50
SPEA2,2,with_diversity,18,50
SPEA2,2,with_diversity,19,50
SPEA2,2,with_diversity,20,50
SPEA2,2,with_diversity,21,50
SPEA2,2,with_diversity,22,50
SPEA2,2,with_diversity,23,50
SPEA2,2,with_diversity,24,50
SPEA2,2,with_diversity,25,50
SPEA2,2,with_diversity,26,50
SPEA2,2,with_diversity,27,50
SPEA2,2,with_diversity,28,50
SPEA2,2,with_diversity,29,50
SPEA2,2,with_diversity,30,50
SPEA2,2,with_diversity,31,50
SPEA2,2,with_diversity,32,50
SPEA2,2,with_diversity,33,50
SPEA2,2,with_diversity,34,50
SPEA2,2,with_diversity,35,50
SPEA2,2,with_diversity,36,50
SPEA2,2,with_diversity,37,50
SPEA2,2,with_diversity,38,50
SPEA2,2,with_diversity,39,50
SPEA2,2,with_diversity,40,50
SPEA2,2,with_diversity,41,50
SPEA2,2,with_diversity,42,50
SPEA2,2,with_diversity,43,50
