algorithm,user_id,diversity_mode,solution_rank,preference,cost,time,penalty,nutrition_penalty,diversity_score,breakfast_ids,lunch_dinner_ids,menu_ids,nutrient_totals,dri_limits
SPEA2,1,with_diversity,1,62.1,15.75,350.0,0.918246,0.918246,7,"[65, 77]","[96, 131, 197, 167, 402, 161, 245, 336]","[65, 77, 96, 131, 197, 167, 402, 161, 245, 336]","{""Calcium, Ca"": 869.3688, ""Copper, Cu"": 1.5977373, ""Iron, Fe"": 15.507878999999999, ""Magnesium, Mg"": 322.62809999999996, ""Manganese, Mn"": 3.7914822, ""Phosphorus, P"": 1373.4558, ""Sodium, Na"": 2571.873, ""Potassium, K"": 3600.99, ""Zinc, Zn"": 11.56858, ""Carbohydrate, by difference"": 185.09189999999998, ""Fiber, total dietary"": 33.71292700000001, ""Protein"": 70.55554, ""Energy"": 2112.495, ""Vitamin A"": 360.2912800000001, ""Vitamin B-6"": 1.9151270000000002, ""Vitamin B-12"": 3.3154359999999996, ""Vitamin C, total ascorbic acid"": 50.909812, ""Vitamin D"": 3.0467059, ""Vitamin E (alpha-tocopherol)"": 29.88179, ""Thiamin"": 6.228888, ""Riboflavin"": 1.7377654000000002, ""Niacin"": 11.038248, ""Pantothenic acid"": 9.279886000000001, ""Vitamin B-9 Folic acid"": 277.29519999999997, ""Vitamin B-7"": 12.583261, ""Total lipid (fat)"": 137.97708}","{""Calcium, Ca"": [1000.0, 2500.0], ""Copper, Cu"": [0.9, 10.0], ""Iron, Fe"": [18.0, 45.0], ""Magnesium, Mg"": [310.0, 660.0], ""Manganese, Mn"": [1.8, 11.0], ""Phosphorus, P"": [700.0, 4000.0], ""Sodium, Na"": [1500.0, 2300.0], ""Potassium, K"": [4700.0, 10000.0], ""Zinc, Zn"": [8.0, 40.0], ""Carbohydrate, by difference"": [170.0, 300.0], ""Fiber, total dietary"": [20.0, 9999.0], ""Protein"": [40.0, 100.0], ""Energy"": [2000.0, 2400.0], ""Vitamin A"": [700.0, 3000.0], ""Vitamin B-6"": [1.3, 100.0], ""Vitamin B-12"": [2.4, 10000.0], ""Vitamin C, total ascorbic acid"": [75.0, 2000.0], ""Vitamin D"": [600.0, 4000.0], ""Vitamin E (alpha-tocopherol)"": [15.0, 1000.0], ""Thiamin"": [1.1, 10000.0], ""Riboflavin"": [1.1, 10000.0], ""Niacin"": [14.0, 35.0], ""Pantothenic acid"": [5.0, 10000.0], ""Vitamin B-9 Folic acid"": [400.0, 1000.0], ""Vitamin B-7"": [30.0, 10000.0], ""Total lipid (fat)"": [40.0, 120.0]}"
SPEA2,1,with_diversity,2,65.2,16.52,715.0,0.743793,0.743793,9,"[53, 60]","[186, 177, 150, 350, 257, 379, 197, 284, 334, 266]","[53, 60, 186, 177, 150, 350, 257, 379, 197, 284, 334, 266]","{""Calcium, Ca"": 909.2196779999999, ""Copper, Cu"": 2.8750602, ""Iron, Fe"": 30.607017300000003, ""Magnesium, Mg"": 667.0753700000001, ""Manganese, Mn"": 8.203328, ""Phosphorus, P"": 2063.4303528, ""Sodium, Na"": 2393.6650999999997, ""Potassium, K"": 4661.015188, ""Zinc, Zn"": 20.840992999999994, ""Carbohydrate, by difference"": 344.51118, ""Fiber, total dietary"": 57.93881199999999, ""Protein"": 96.5166953, ""Energy"": 2756.6218300000005, ""Vitamin A"": 259.73996000000005, ""Vitamin B-6"": 3.4694438, ""Vitamin B-12"": 11.323929, ""Vitamin C, total ascorbic acid"": 107.932405, ""Vitamin D"": 1.1488197000000002, ""Vitamin E (alpha-tocopherol)"": 57.346308, ""Thiamin"": 8.9251073, ""Riboflavin"": 5.0896407, ""Niacin"": 34.064712199999995, ""Pantothenic acid"": 21.935050000000004, ""Vitamin B-9 Folic acid"": 704.1704500000001, ""Vitamin B-7"": 35.52443, ""Total lipid (fat)"": 127.36561019999999}","{""Calcium, Ca"": [1000.0, 2500.0], ""Copper, Cu"": [0.9, 10.0], ""Iron, Fe"": [18.0, 45.0], ""Magnesium, Mg"": [310.0, 660.0], ""Manganese, Mn"": [1.8, 11.0], ""Phosphorus, P"": [700.0, 4000.0], ""Sodium, Na"": [1500.0, 2300.0], ""Potassium, K"": [4700.0, 10000.0], ""Zinc, Zn"": [8.0, 40.0], ""Carbohydrate, by difference"": [170.0, 300.0], ""Fiber, total dietary"": [20.0, 9999.0], ""Protein"": [40.0, 100.0], ""Energy"": [2000.0, 2400.0], ""Vitamin A"": [700.0, 3000.0], ""Vitamin B-6"": [1.3, 100.0], ""Vitamin B-12"": [2.4, 10000.0], ""Vitamin C, total ascorbic acid"": [75.0, 2000.0], ""Vitamin D"": [600.0, 4000.0], ""Vitamin E (alpha-tocopherol)"": [15.0, 1000.0], ""Thiamin"": [1.1, 10000.0], ""Riboflavin"": [1.1, 10000.0], ""Niacin"": [14.0, 35.0], ""Pantothenic acid"": [5.0, 10000.0], ""Vitamin B-9 Folic acid"": [400.0, 1000.0], ""Vitamin B-7"": [30.0, 10000.0], ""Total lipid (fat)"": [40.0, 120.0]}"
SPEA2,1,with_diversity,3,99.1,29.07,573.0,0.904594,0.904594,12,"[86, 93, 19, 90, 45, 20]","[218, 257, 271, 404, 273, 105, 401, 283, 248, 285, 245, 336]","[86, 93, 19, 90, 45, 20, 218, 257, 271, 404, 273, 105, 401, 283, 248, 285, 245, 336]","{""Calcium, Ca"": 1283.5557400000005, ""Copper, Cu"": 1.4428437000000003, ""Iron, Fe"": 19.040563, ""Magnesium, Mg"": 435.79705, ""Manganese, Mn"": 2.4015901, ""Phosphorus, P"": 1176.6513999999997, ""Sodium, Na"": 2569.8210400000003, ""Potassium, K"": 3805.3331999999996, ""Zinc, Zn"": 10.978021900000002, ""Carbohydrate, by difference"": 340.76842000000005, ""Fiber, total dietary"": 36.42047500000001, ""Protein"": 81.14848400000001, ""Energy"": 2723.5955000000004, ""Vitamin A"": 454.6251368, ""Vitamin B-6"": 2.2378175000000002, ""Vitamin B-12"": 36.2375664, ""Vitamin C, total ascorbic acid"": 165.716774, ""Vitamin D"": 0.2018416, ""Vitamin E (alpha-tocopherol)"": 42.9946, ""Thiamin"": 13.854036999999998, ""Riboflavin"": 7.2268846, ""Niacin"": 11.456768, ""Pantothenic acid"": 52.786844800000004, ""Vitamin B-9 Folic acid"": 436.39038, ""Vitamin B-7"": 18.857284999999997, ""Total lipid (fat)"": 137.26567799999998}","{""Calcium, Ca"": [1000.0, 2500.0], ""Copper, Cu"": [0.9, 10.0], ""Iron, Fe"": [18.0, 45.0], ""Magnesium, Mg"": [310.0, 660.0], ""Manganese, Mn"": [1.8, 11.0], ""Phosphorus, P"": [700.0, 4000.0], ""Sodium, Na"": [1500.0, 2300.0], ""Potassium, K"": [4700.0, 10000.0], ""Zinc, Zn"": [8.0, 40.0], ""Carbohydrate, by difference"": [170.0, 300.0], ""Fiber, total dietary"": [20.0, 9999.0], ""Protein"": [40.0, 100.0], ""Energy"": [2000.0, 2400.0], ""Vitamin A"": [700.0, 3000.0], ""Vitamin B-6"": [1.3, 100.0], ""Vitamin B-12"": [2.4, 10000.0], ""Vitamin C, total ascorbic acid"": [75.0, 2000.0], ""Vitamin D"": [600.0, 4000.0], ""Vitamin E (alpha-tocopherol)"": [15.0, 1000.0], ""Thiamin"": [1.1, 10000.0], ""Riboflavin"": [1.1, 10000.0], ""Niacin"": [14.0, 35.0], ""Pantothenic acid"": [5.0, 10000.0], ""Vitamin B-9 Folic acid"": [400.0, 1000.0], ""Vitamin B-7"": [30.0, 10000.0], ""Total lipid (fat)"": [40.0, 120.0]}"
SPEA2,1,with_diversity,4,64.6,14.29,519.0,1.000817,1.000817,8,"[20, 33]","[283, 248, 96, 197, 402, 344, 200, 282, 245, 266]","[20, 33, 283, 248, 96, 197, 402, 344, 200, 282, 245, 266]","{""Calcium, Ca"": 739.4668399999999, ""Copper, Cu"": 2.5144442000000002, ""Iron, Fe"": 27.186220999999996, ""Magnesium, Mg"": 541.1659199999999, ""Manganese, Mn"": 7.522708699999999, ""Phosphorus, P"": 1723.03514, ""Sodium, Na"": 2586.0534000000002, ""Potassium, K"": 3899.2212, ""Zinc, Zn"": 17.613024, ""Carbohydrate, by difference"": 344.64291000000003, ""Fiber, total dietary"": 41.488634000000005, ""Protein"": 76.393562, ""Energy"": 2747.97003, ""Vitamin A"": 223.14180679999998, ""Vitamin B-6"": 4.0957479, ""Vitamin B-12"": 10.931363, ""Vitamin C, total ascorbic acid"": 93.86588599999999, ""Vitamin D"": 1.2089427, ""Vitamin E (alpha-tocopherol)"": 60.779070000000004, ""Thiamin"": 16.061147000000002, ""Riboflavin"": 5.1942521, ""Niacin"": 23.0588482, ""Pantothenic acid"": 25.524939999999997, ""Vitamin B-9 Folic acid"": 461.24003000000005, ""Vitamin B-7"": 40.871307, ""Total lipid (fat)"": 129.0109602}","{""Calcium, Ca"": [1000.0, 2500.0], ""Copper, Cu"": [0.9, 10.0], ""Iron, Fe"": [18.0, 45.0], ""Magnesium, Mg"": [310.0, 660.0], ""Manganese, Mn"": [1.8, 11.0], ""Phosphorus, P"": [700.0, 4000.0], ""Sodium, Na"": [1500.0, 2300.0], ""Potassium, K"": [4700.0, 10000.0], ""Zinc, Zn"": [8.0, 40.0], ""Carbohydrate, by difference"": [170.0, 300.0], ""Fiber, total dietary"": [20.0, 9999.0], ""Protein"": [40.0, 100.0], ""Energy"": [2000.0, 2400.0], ""Vitamin A"": [700.0, 3000.0], ""Vitamin B-6"": [1.3, 100.0], ""Vitamin B-12"": [2.4, 10000.0], ""Vitamin C, total ascorbic acid"": [75.0, 2000.0], ""Vitamin D"": [600.0, 4000.0], ""Vitamin E (alpha-tocopherol)"": [15.0, 1000.0], ""Thiamin"": [1.1, 10000.0], ""Riboflavin"": [1.1, 10000.0], ""Niacin"": [14.0, 35.0], ""Pantothenic acid"": [5.0, 10000.0], ""Vitamin B-9 Folic acid"": [400.0, 1000.0], ""Vitamin B-7"": [30.0, 10000.0], ""Total lipid (fat)"": [40.0, 120.0]}"
SPEA2,1,with_diversity,5,79.8,29.39,303.0,0.656083,0.656083,12,"[94, 22, 91, 18, 29, 8, 20]","[113, 300, 297, 210, 248, 404, 361, 376, 266]","[94, 22, 91, 18, 29, 8, 20, 113, 300, 297, 210, 248, 404, 361, 376, 266]","{""Calcium, Ca"": 1143.6608899999999, ""Copper, Cu"": 1.8503814000000003, ""Iron, Fe"": 23.8642828, ""Magnesium, Mg"": 531.64256, ""Manganese, Mn"": 5.4767641, ""Phosphorus, P"": 1793.5012067, ""Sodium, Na"": 2572.5191400000003, ""Potassium, K"": 5974.646900000001, ""Zinc, Zn"": 20.511280399999997, ""Carbohydrate, by difference"": 317.65921, ""Fiber, total dietary"": 45.616893999999995, ""Protein"": 112.70036199999998, ""Energy"": 2745.16353, ""Vitamin A"": 1260.06921, ""Vitamin B-6"": 4.1162288, ""Vitamin B-12"": 21.677476, ""Vitamin C, total ascorbic acid"": 522.8697560000002, ""Vitamin D"": 0.5997165, ""Vitamin E (alpha-tocopherol)"": 39.77828999999999, ""Thiamin"": 6.943714, ""Riboflavin"": 5.5164742, ""Niacin"": 20.8872732, ""Pantothenic acid"": 36.093617, ""Vitamin B-9 Folic acid"": 401.36211000000003, ""Vitamin B-7"": 27.407843, ""Total lipid (fat)"": 137.9129782}","{""Calcium, Ca"": [1000.0, 2500.0], ""Copper, Cu"": [0.9, 10.0], ""Iron, Fe"": [18.0, 45.0], ""Magnesium, Mg"": [310.0, 660.0], ""Manganese, Mn"": [1.8, 11.0], ""Phosphorus, P"": [700.0, 4000.0], ""Sodium, Na"": [1500.0, 2300.0], ""Potassium, K"": [4700.0, 10000.0], ""Zinc, Zn"": [8.0, 40.0], ""Carbohydrate, by difference"": [170.0, 300.0], ""Fiber, total dietary"": [20.0, 9999.0], ""Protein"": [40.0, 100.0], ""Energy"": [2000.0, 2400.0], ""Vitamin A"": [700.0, 3000.0], ""Vitamin B-6"": [1.3, 100.0], ""Vitamin B-12"": [2.4, 10000.0], ""Vitamin C, total ascorbic acid"": [75.0, 2000.0], ""Vitamin D"": [600.0, 4000.0], ""Vitamin E (alpha-tocopherol)"": [15.0, 1000.0], ""Thiamin"": [1.1, 10000.0], ""Riboflavin"": [1.1, 10000.0], ""Niacin"": [14.0, 35.0], ""Pantothenic acid"": [5.0, 10000.0], ""Vitamin B-9 Folic acid"": [400.0, 1000.0], ""Vitamin B-7"": [30.0, 10000.0], ""Total lipid (fat)"": [40.0, 120.0]}"
SPEA2,1,with_diversity,6,69.3,18.36,640.0,0.585882,0.585882,12,"[86, 4, 78, 63]","[310, 384, 183, 312, 242, 319, 272, 362, 161, 336]","[86, 4, 78, 63, 310, 384, 183, 312, 242, 319, 272, 362, 161, 336]","{""Calcium, Ca"": 950.04224, ""Copper, Cu"": 1.4117357000000001, ""Iron, Fe"": 12.316493999999999, ""Magnesium, Mg"": 297.40090000000004, ""Manganese, Mn"": 2.4425424, ""Phosphorus, P"": 1408.7740000000001, ""Sodium, Na"": 2569.2081, ""Potassium, K"": 4806.599700000001, ""Zinc, Zn"": 8.349333, ""Carbohydrate, by difference"": 268.35841, ""Fiber, total dietary"": 27.191425, ""Protein"": 91.93580400000002, ""Energy"": 2524.3021000000003, ""Vitamin A"": 687.6799, ""Vitamin B-6"": 2.8570860000000002, ""Vitamin B-12"": 1.3599165, ""Vitamin C, total ascorbic acid"": 256.69869, ""Vitamin D"": 0.5285757, ""Vitamin E (alpha-tocopherol)"": 31.350683500000006, ""Thiamin"": 14.7451457, ""Riboflavin"": 1.4622971000000005, ""Niacin"": 28.521909, ""Pantothenic acid"": 7.450755000000001, ""Vitamin B-9 Folic acid"": 432.71943999999996, ""Vitamin B-7"": 14.066311, ""Total lipid (fat)"": 137.99427}","{""Calcium, Ca"": [1000.0, 2500.0], ""Copper, Cu"": [0.9, 10.0], ""Iron, Fe"": [18.0, 45.0], ""Magnesium, Mg"": [310.0, 660.0], ""Manganese, Mn"": [1.8, 11.0], ""Phosphorus, P"": [700.0, 4000.0], ""Sodium, Na"": [1500.0, 2300.0], ""Potassium, K"": [4700.0, 10000.0], ""Zinc, Zn"": [8.0, 40.0], ""Carbohydrate, by difference"": [170.0, 300.0], ""Fiber, total dietary"": [20.0, 9999.0], ""Protein"": [40.0, 100.0], ""Energy"": [2000.0, 2400.0], ""Vitamin A"": [700.0, 3000.0], ""Vitamin B-6"": [1.3, 100.0], ""Vitamin B-12"": [2.4, 10000.0], ""Vitamin C, total ascorbic acid"": [75.0, 2000.0], ""Vitamin D"": [600.0, 4000.0], ""Vitamin E (alpha-tocopherol)"": [15.0, 1000.0], ""Thiamin"": [1.1, 10000.0], ""Riboflavin"": [1.1, 10000.0], ""Niacin"": [14.0, 35.0], ""Pantothenic acid"": [5.0, 10000.0], ""Vitamin B-9 Folic acid"": [400.0, 1000.0], ""Vitamin B-7"": [30.0, 10000.0], ""Total lipid (fat)"": [40.0, 120.0]}"
SPEA2,1,with_diversity,7,45.2,14.76,410.0,1.288248,1.288248,7,"[43, 78, 63]","[188, 381, 112, 346, 218, 362, 127]","[43, 78, 63, 188, 381, 112, 346, 218, 362, 127]","{""Calcium, Ca"": 711.5253, ""Copper, Cu"": 1.828283, ""Iron, Fe"": 13.054649999999999, ""Magnesium, Mg"": 394.2102, ""Manganese, Mn"": 10.06047, ""Phosphorus, P"": 1568.4236, ""Sodium, Na"": 1177.8249999999998, ""Potassium, K"": 3176.8, ""Zinc, Zn"": 16.64195, ""Carbohydrate, by difference"": 309.81196, ""Fiber, total dietary"": 15.194410000000001, ""Protein"": 92.80966000000001, ""Energy"": 2716.462, ""Vitamin A"": 626.08156, ""Vitamin B-6"": 3.219945, ""Vitamin B-12"": 4.56103, ""Vitamin C, total ascorbic acid"": 39.874442, ""Vitamin D"": 0.16654059999999998, ""Vitamin E (alpha-tocopherol)"": 31.742070000000002, ""Thiamin"": 4.464665999999999, ""Riboflavin"": 2.151806, ""Niacin"": 12.338040000000001, ""Pantothenic acid"": 9.704486, ""Vitamin B-9 Folic acid"": 411.519, ""Vitamin B-7"": 24.373154, ""Total lipid (fat)"": 137.98602}","{""Calcium, Ca"": [1000.0, 2500.0], ""Copper, Cu"": [0.9, 10.0], ""Iron, Fe"": [18.0, 45.0], ""Magnesium, Mg"": [310.0, 660.0], ""Manganese, Mn"": [1.8, 11.0], ""Phosphorus, P"": [700.0, 4000.0], ""Sodium, Na"": [1500.0, 2300.0], ""Potassium, K"": [4700.0, 10000.0], ""Zinc, Zn"": [8.0, 40.0], ""Carbohydrate, by difference"": [170.0, 300.0], ""Fiber, total dietary"": [20.0, 9999.0], ""Protein"": [40.0, 100.0], ""Energy"": [2000.0, 2400.0], ""Vitamin A"": [700.0, 3000.0], ""Vitamin B-6"": [1.3, 100.0], ""Vitamin B-12"": [2.4, 10000.0], ""Vitamin C, total ascorbic acid"": [75.0, 2000.0], ""Vitamin D"": [600.0, 4000.0], ""Vitamin E (alpha-tocopherol)"": [15.0, 1000.0], ""Thiamin"": [1.1, 10000.0], ""Riboflavin"": [1.1, 10000.0], ""Niacin"": [14.0, 35.0], ""Pantothenic acid"": [5.0, 10000.0], ""Vitamin B-9 Folic acid"": [400.0, 1000.0], ""Vitamin B-7"": [30.0, 10000.0], ""Total lipid (fat)"": [40.0, 120.0]}"
SPEA2,1,with_diversity,8,51.1,15.42,302.0,1.871038,1.871038,8,"[59, 76, 82, 86]","[271, 360, 273, 105, 401, 285, 266]","[59, 76, 82, 86, 271, 360, 273, 105, 401, 285, 266]","{""Calcium, Ca"": 628.0898199999999, ""Copper, Cu"": 0.6753537000000001, ""Iron, Fe"": 7.5467189999999995, ""Magnesium, Mg"": 173.69657000000004, ""Manganese, Mn"": 1.6768354, ""Phosphorus, P"": 606.40654, ""Sodium, Na"": 1719.7967099999998, ""Potassium, K"": 2721.5197, ""Zinc, Zn"": 4.002066, ""Carbohydrate, by difference"": 199.823511, ""Fiber, total dietary"": 28.4426119, ""Protein"": 32.458212, ""Energy"": 2096.3371300000003, ""Vitamin A"": 681.22442, ""Vitamin B-6"": 1.4252266999999998, ""Vitamin B-12"": 10.769123500000001, ""Vitamin C, total ascorbic acid"": 125.960342, ""Vitamin D"": 2.9384948000000004, ""Vitamin E (alpha-tocopherol)"": 36.80636, ""Thiamin"": 8.9588518, ""Riboflavin"": 2.2899103999999997, ""Niacin"": 5.4996362, ""Pantothenic acid"": 15.812585799999999, ""Vitamin B-9 Folic acid"": 237.2825, ""Vitamin B-7"": 9.692886, ""Total lipid (fat)"": 137.9623382}","{""Calcium, Ca"": [1000.0, 2500.0], ""Copper, Cu"": [0.9, 10.0], ""Iron, Fe"": [18.0, 45.0], ""Magnesium, Mg"": [310.0, 660.0], ""Manganese, Mn"": [1.8, 11.0], ""Phosphorus, P"": [700.0, 4000.0], ""Sodium, Na"": [1500.0, 2300.0], ""Potassium, K"": [4700.0, 10000.0], ""Zinc, Zn"": [8.0, 40.0], ""Carbohydrate, by difference"": [170.0, 300.0], ""Fiber, total dietary"": [20.0, 9999.0], ""Protein"": [40.0, 100.0], ""Energy"": [2000.0, 2400.0], ""Vitamin A"": [700.0, 3000.0], ""Vitamin B-6"": [1.3, 100.0], ""Vitamin B-12"": [2.4, 10000.0], ""Vitamin C, total ascorbic acid"": [75.0, 2000.0], ""Vitamin D"": [600.0, 4000.0], ""Vitamin E (alpha-tocopherol)"": [15.0, 1000.0], ""Thiamin"": [1.1, 10000.0], ""Riboflavin"": [1.1, 10000.0], ""Niacin"": [14.0, 35.0], ""Pantothenic acid"": [5.0, 10000.0], ""Vitamin B-9 Folic acid"": [400.0, 1000.0], ""Vitamin B-7"": [30.0, 10000.0], ""Total lipid (fat)"": [40.0, 120.0]}"
SPEA2,1,with_diversity,9,96.0,29.75,454.0,1.148913,1.148913,10,"[31, 22, 27]","[218, 257, 271, 404, 273, 283, 248, 318, 161, 245, 266, 336]","[31, 22, 27, 218, 257, 271, 404, 273, 283, 248, 318, 161, 245, 266, 336]","{""Calcium, Ca"": 737.16324, ""Copper, Cu"": 1.190593, ""Iron, Fe"": 17.804637999999997, ""Magnesium, Mg"": 345.90756999999996, ""Manganese, Mn"": 1.8398322999999999, ""Phosphorus, P"": 593.8948399999999, ""Sodium, Na"": 1990.5177, ""Potassium, K"": 2739.4954000000002, ""Zinc, Zn"": 6.964760900000002, ""Carbohydrate, by difference"": 320.14991000000003, ""Fiber, total dietary"": 22.142853, ""Protein"": 63.665172000000005, ""Energy"": 2709.46203, ""Vitamin A"": 932.2839667999999, ""Vitamin B-6"": 1.4894298000000001, ""Vitamin B-12"": 16.609804399999998, ""Vitamin C, total ascorbic acid"": 174.398242, ""Vitamin D"": 0.1370935, ""Vitamin E (alpha-tocopherol)"": 31.25004, ""Thiamin"": 8.788890199999999, ""Riboflavin"": 3.0128417999999995, ""Niacin"": 10.5744982, ""Pantothenic acid"": 22.192997800000004, ""Vitamin B-9 Folic acid"": 285.97478, ""Vitamin B-7"": 8.014520000000001, ""Total lipid (fat)"": 137.6666102}","{""Calcium, Ca"": [1000.0, 2500.0], ""Copper, Cu"": [0.9, 10.0], ""Iron, Fe"": [18.0, 45.0], ""Magnesium, Mg"": [310.0, 660.0], ""Manganese, Mn"": [1.8, 11.0], ""Phosphorus, P"": [700.0, 4000.0], ""Sodium, Na"": [1500.0, 2300.0], ""Potassium, K"": [4700.0, 10000.0], ""Zinc, Zn"": [8.0, 40.0], ""Carbohydrate, by difference"": [170.0, 300.0], ""Fiber, total dietary"": [20.0, 9999.0], ""Protein"": [40.0, 100.0], ""Energy"": [2000.0, 2400.0], ""Vitamin A"": [700.0, 3000.0], ""Vitamin B-6"": [1.3, 100.0], ""Vitamin B-12"": [2.4, 10000.0], ""Vitamin C, total ascorbic acid"": [75.0, 2000.0], ""Vitamin D"": [600.0, 4000.0], ""Vitamin E (alpha-tocopherol)"": [15.0, 1000.0], ""Thiamin"": [1.1, 10000.0], ""Riboflavin"": [1.1, 10000.0], ""Niacin"": [14.0, 35.0], ""Pantothenic acid"": [5.0, 10000.0], ""Vitamin B-9 Folic acid"": [400.0, 1000.0], ""Vitamin B-7"": [30.0, 10000.0], ""Total lipid (fat)"": [40.0, 120.0]}"
SPEA2,1,with_diversity,10,122.7,45.08,810.0,0.634759,0.634759,12,"[1, 78, 55, 26]","[329, 264, 152, 234, 266, 386, 303, 399, 284, 271, 105, 108, 285, 161, 376, 253, 251, 113, 139]","[1, 78, 55, 26, 329, 264, 152, 234, 266, 386, 303, 399, 284, 271, 105, 108, 285, 161, 376, 253, 251, 113, 139]","{""Calcium, Ca"": 1369.643008, ""Copper, Cu"": 2.3430312000000004, ""Iron, Fe"": 21.6355613, ""Magnesium, Mg"": 456.32215999999994, ""Manganese, Mn"": 4.5795962, ""Phosphorus, P"": 1266.9665994999998, ""Sodium, Na"": 2585.8242450000002, ""Potassium, K"": 6309.834887999999, ""Zinc, Zn"": 9.0705905, ""Carbohydrate, by difference"": 343.06455, ""Fiber, total dietary"": 71.85724400000001, ""Protein"": 65.59051529999999, ""Energy"": 2676.1966300000004, ""Vitamin A"": 599.8510539, ""Vitamin B-6"": 2.3843385, ""Vitamin B-12"": 34.3372747, ""Vitamin C, total ascorbic acid"": 366.04425100000003, ""Vitamin D"": 0.30890390000000006, ""Vitamin E (alpha-tocopherol)"": 59.422779999999996, ""Thiamin"": 15.899104099999999, ""Riboflavin"": 7.547408800000001, ""Niacin"": 20.9743732, ""Pantothenic acid"": 56.680853899999995, ""Vitamin B-9 Folic acid"": 701.0893599999999, ""Vitamin B-7"": 16.416400000000003, ""Total lipid (fat)"": 137.63941619999997}","{""Calcium, Ca"": [1000.0, 2500.0], ""Copper, Cu"": [0.9, 10.0], ""Iron, Fe"": [18.0, 45.0], ""Magnesium, Mg"": [310.0, 660.0], ""Manganese, Mn"": [1.8, 11.0], ""Phosphorus, P"": [700.0, 4000.0], ""Sodium, Na"": [1500.0, 2300.0], ""Potassium, K"": [4700.0, 10000.0], ""Zinc, Zn"": [8.0, 40.0], ""Carbohydrate, by difference"": [170.0, 300.0], ""Fiber, total dietary"": [20.0, 9999.0], ""Protein"": [40.0, 100.0], ""Energy"": [2000.0, 2400.0], ""Vitamin A"": [700.0, 3000.0], ""Vitamin B-6"": [1.3, 100.0], ""Vitamin B-12"": [2.4, 10000.0], ""Vitamin C, total ascorbic acid"": [75.0, 2000.0], ""Vitamin D"": [600.0, 4000.0], ""Vitamin E (alpha-tocopherol)"": [15.0, 1000.0], ""Thiamin"": [1.1, 10000.0], ""Riboflavin"": [1.1, 10000.0], ""Niacin"": [14.0, 35.0], ""Pantothenic acid"": [5.0, 10000.0], ""Vitamin B-9 Folic acid"": [400.0, 1000.0], ""Vitamin B-7"": [30.0, 10000.0], ""Total lipid (fat)"": [40.0, 120.0]}"
